CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'057816101,AE,A W BROWN-FELLOWSHIP CHARTER SCHO,Y,DALLAS,'057,R,A W BROWN-FELLOWSHIP CHARTER SCHOO,'PK - 07,E,,,'10
'057829001,,A+ ACADEMY,Y,DALLAS,'057,P,A+ ACADEMY,'PK - 12,B,,,'10
'109901001,ACRENS,ABBOTT SCHOOL,N,HILL,'109,R,ABBOTT ISD,'KG - 12,B,,,'12
'095901003,,ABERNATHY DAEP,N,HALE,'095,X,ABERNATHY ISD,'08 - 08,M,,,'17
'095901101,,ABERNATHY EL,N,HALE,'095,A,ABERNATHY ISD,'PK - 05,E,,,'17
'095901001,R,ABERNATHY H S,N,HALE,'095,A,ABERNATHY ISD,'09 - 12,S,,,'17
'095901041,AW,ABERNATHY J H,N,HALE,'095,R,ABERNATHY ISD,'06 - 08,M,,,'17
'221901001,,ABILENE H S,N,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,,,'14
'221901129,,ABILENE STATE SCH,N,TAYLOR,'221,X,ABILENE ISD,'10 - 12,S,,,'14
'221901102,EWMN,AUSTIN EL,N,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901153,EWMN,BASSETTI EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901103,EWMN,BONHAM EL,N,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901104,EM,BOWIE EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901047,S,CLACK MIDDLE,N,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901106,E,COLLEGE HEIGHTS EL,N,TAYLOR,'221,R,ABILENE ISD,'EE - 05,E,,,'14
'221901002,,COOPER H S,N,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,,,'14
'221901108,EWM,DYESS EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901003,,EXCEL ALTER H S,N,TAYLOR,'221,P,ABILENE ISD,'09 - 12,S,,,'14
'221901110,EN,FANNIN EL,N,TAYLOR,'221,R,ABILENE ISD,'EE - 05,E,,,'14
'221901041,,FRANKLIN MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901200,,HARMONY FAMILY SERVICES,N,TAYLOR,'221,X,ABILENE ISD,'06 - 10,B,,,'14
'221901124,,HOUSTON STUDENT ACH CTR,N,TAYLOR,'221,X,ABILENE ISD,'04 - 11,B,,,'14
'221901112,EWN,JACKSON EL,N,TAYLOR,'221,R,ABILENE ISD,'EE - 05,E,,,'14
'221901042,,JEFFERSON MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'07 - 08,M,,,'14
'221901113,EW,JOHNSTON EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901008,,JUVENILE DETENTION CENTER,N,TAYLOR,'221,X,ABILENE ISD,'06 - 11,B,,,'14
'221901116,,LEE EL,N,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901043,,LINCOLN MIDDLE,N,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901117,,LOCUST ECC,N,TAYLOR,'221,X,ABILENE ISD,'EE - PK,E,,,'14
'221901118,,LONG EL,N,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901044,W,MADISON MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901045,S,MANN MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901152,EWM,ORTIZ EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901120,,REAGAN EL,N,TAYLOR,'221,A,ABILENE ISD,'EE - 05,E,,,'14
'221901127,,SP ED HOMEBOUND,N,TAYLOR,'221,X,ABILENE ISD,'02 - 09,B,,,'14
'221901128,,SP ED O J T,N,TAYLOR,'221,X,ABILENE ISD,'09 - 12,S,,,'14
'221901007,,TAYLOR COUNTY LEARNING CENTER,N,TAYLOR,'221,X,ABILENE ISD,'07 - 11,S,,,'14
'221901121,EWN,TAYLOR EL,N,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901151,,THOMAS EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901006,,TRAVIS OPPORTUNITY CTR,N,TAYLOR,'221,X,ABILENE ISD,'06 - 11,B,,,'14
'221901150,EWMN,WARD EL,N,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901125,,WOODSON ECC,N,TAYLOR,'221,X,ABILENE ISD,'EE - PK,E,,,'14
'221901046,,WOODSON PROJECT PASS,N,TAYLOR,'221,P,ABILENE ISD,'07 - 08,M,,,'14
'014901101,EWM,ACADEMY EL,N,BELL,'014,R,ACADEMY ISD,'KG - 04,E,,,'12
'014901001,PT,ACADEMY H S,N,BELL,'014,A,ACADEMY ISD,'09 - 12,S,,,'12
'014901041,EWNS,ACADEMY J H,N,BELL,'014,R,ACADEMY ISD,'05 - 08,M,,,'12
'101810002,M,ACADEMY OF ACCELERATED LEARNING,Y,HARRIS,'101,R,ACADEMY OF ACCELERATED LEARNING I,'PK - 03,E,,,'04
'123801101,,ACADEMY OF BEAUMONT,Y,JEFFERSON,'123,X,ACADEMY OF BEAUMONT,'PK - 08,E,,,'05
'015816001,,ACADEMY OF CAREERS AND TECHNOLOGI,Y,BEXAR,'015,P,ACADEMY OF CAREERS AND TECHNOLOGIE,'09 - 12,S,,,'20
'057810101,,ACADEMY OF DALLAS,Y,DALLAS,'057,L,ACADEMY OF DALLAS,'PK - 08,E,,,'10
'101849041,,ACCELERATED INTERMEDIATE ACADEMY,Y,HARRIS,'101,L,ACCELERATED INTERMEDIATE ACADEMY,'PK - 08,E,,,'04
'180903001,TRW,ADRIAN SCHOOL,N,OLDHAM,'180,A,ADRIAN ISD,'PK - 12,B,,,'16
'178901101,,AGUA DULCE ELEMENTARY SCHOOL,N,NUECES,'178,L,AGUA DULCE ISD,'PK - 06,E,,,'02
'178901001,AR,AGUA DULCE H S,N,NUECES,'178,A,AGUA DULCE ISD,'07 - 12,S,,,'02
'015901001,P,ALAMO HEIGHTS H S,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'09 - 12,S,,,'20
'015901041,W,ALAMO HEIGHTS J H,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'06 - 08,M,,,'20
'015901002,,BEXAR CO J J A E P,N,BEXAR,'015,X,ALAMO HEIGHTS ISD,'09 - 09,S,,,'20
'015901101,,CAMBRIDGE EL,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'015901102,,HOWARD EL,N,BEXAR,'015,X,ALAMO HEIGHTS ISD,'EE - KG,E,,,'20
'015901104,,WOODRIDGE EL,N,BEXAR,'015,A,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'250906101,E,ALBA-GOLDEN EL,N,WOOD,'250,A,ALBA-GOLDEN ISD,'PK - 06,E,,,'07
'250906001,T,ALBA-GOLDEN H S,N,WOOD,'250,R,ALBA-GOLDEN ISD,'07 - 12,S,,,'07
'250906002,,ALTER SCHOOL,N,WOOD,'250,P,ALBA-GOLDEN ISD,'10 - 11,S,,,'07
'209901001,ARW,ALBANY JR-SR H S,N,SHACKELFORD,'209,A,ALBANY ISD,'07 - 12,S,,,'14
'209901101,EWMN,NANCY SMITH EL,N,SHACKELFORD,'209,E,ALBANY ISD,'EE - 06,E,,,'14
'101902130,,ALDINE ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
